fmid,ts,status,enrolled,waitlist
350200902,2026-05-11T08:00:08+00:00,Unavailable,,
350200913,2026-05-11T08:00:08+00:00,Unavailable,,
350200924,2026-05-11T08:00:08+00:00,Unavailable,,
350200935,2026-05-11T08:00:08+00:00,Unavailable,,
350200946,2026-05-11T08:00:08+00:00,Unavailable,,
350200957,2026-05-11T08:00:08+00:00,Unavailable,,
350200968,2026-05-11T08:00:08+00:00,Unavailable,,
350200979,2026-05-11T08:00:08+00:00,Unavailable,,
350200990,2026-05-11T08:00:08+00:00,Unavailable,,
350201001,2026-05-11T08:00:08+00:00,Unavailable,,
350201012,2026-05-11T08:00:08+00:00,Unavailable,,
350201023,2026-05-11T08:00:08+00:00,Unavailable,,
350201034,2026-05-11T08:00:08+00:00,Unavailable,,
350201045,2026-05-11T08:00:08+00:00,Unavailable,,
350201058,2026-05-11T08:00:08+00:00,Unavailable,,
350201069,2026-05-11T08:00:08+00:00,Unavailable,,
350201080,2026-05-11T08:00:08+00:00,Unavailable,,
350201091,2026-05-11T08:00:08+00:00,Unavailable,,
350201102,2026-05-11T08:00:08+00:00,Unavailable,,
350201113,2026-05-11T08:00:08+00:00,Unavailable,,
350201124,2026-05-11T08:00:08+00:00,Unavailable,,
350201135,2026-05-11T08:00:08+00:00,Unavailable,,
350201146,2026-05-11T08:00:08+00:00,Unavailable,,
350201157,2026-05-11T08:00:08+00:00,Unavailable,,
350201170,2026-05-11T08:00:08+00:00,Unavailable,,
350201182,2026-05-11T08:00:08+00:00,Unavailable,,
350201193,2026-05-11T08:00:08+00:00,Unavailable,,
350201205,2026-05-11T08:00:08+00:00,Unavailable,,
350201216,2026-05-11T08:00:08+00:00,Unavailable,,
350201227,2026-05-11T08:00:08+00:00,Unavailable,,
350201238,2026-05-11T08:00:08+00:00,Unavailable,,
350201249,2026-05-11T08:00:08+00:00,Unavailable,,
350201260,2026-05-11T08:00:08+00:00,Unavailable,,
350201271,2026-05-11T08:00:08+00:00,Unavailable,,
350201283,2026-05-11T08:00:08+00:00,Unavailable,,
350201294,2026-05-11T08:00:08+00:00,Unavailable,,
350201305,2026-05-11T08:00:08+00:00,Unavailable,,
350201316,2026-05-11T08:00:08+00:00,Unavailable,,
350201327,2026-05-11T08:00:08+00:00,Unavailable,,
350201338,2026-05-11T08:00:08+00:00,Unavailable,,
350201349,2026-05-11T08:00:08+00:00,Unavailable,,
350201360,2026-05-11T08:00:08+00:00,Unavailable,,
350201371,2026-05-11T08:00:08+00:00,Unavailable,,
350201382,2026-05-11T08:00:08+00:00,Unavailable,,
350201393,2026-05-11T08:00:08+00:00,Unavailable,,
350201404,2026-05-11T08:00:08+00:00,Unavailable,,
350201415,2026-05-11T08:00:08+00:00,Unavailable,,
350201426,2026-05-11T08:00:08+00:00,Unavailable,,
350201437,2026-05-11T08:00:08+00:00,Unavailable,,
350201448,2026-05-11T08:00:08+00:00,Unavailable,,
350201459,2026-05-11T08:00:08+00:00,Unavailable,,
350201470,2026-05-11T08:00:08+00:00,Unavailable,,
350201481,2026-05-11T08:00:08+00:00,Unavailable,,
350201492,2026-05-11T08:00:08+00:00,Unavailable,,
350201503,2026-05-11T08:00:08+00:00,Unavailable,,
350201514,2026-05-11T08:00:08+00:00,Unavailable,,
350201525,2026-05-11T08:00:08+00:00,Unavailable,,
350201536,2026-05-11T08:00:08+00:00,Unavailable,,
350201547,2026-05-11T08:00:08+00:00,Unavailable,,
350201558,2026-05-11T08:00:08+00:00,Unavailable,,
350201569,2026-05-11T08:00:08+00:00,Unavailable,,
350201580,2026-05-11T08:00:08+00:00,Unavailable,,
350201591,2026-05-11T08:00:08+00:00,Unavailable,,
350201602,2026-05-11T08:00:08+00:00,Unavailable,,
350201613,2026-05-11T08:00:08+00:00,Unavailable,,
350201624,2026-05-11T08:00:08+00:00,Unavailable,,
350201635,2026-05-11T08:00:08+00:00,Unavailable,,
350201646,2026-05-11T08:00:08+00:00,Unavailable,,
350201657,2026-05-11T08:00:08+00:00,Unavailable,,
350201668,2026-05-11T08:00:08+00:00,Unavailable,,
350201679,2026-05-11T08:00:08+00:00,Unavailable,,
350201690,2026-05-11T08:00:08+00:00,Unavailable,,
350201701,2026-05-11T08:00:08+00:00,Unavailable,,
350201712,2026-05-11T08:00:08+00:00,Unavailable,,
350201723,2026-05-11T08:00:08+00:00,Unavailable,,
350201735,2026-05-11T08:00:08+00:00,Unavailable,,
350201746,2026-05-11T08:00:08+00:00,Unavailable,,
350201757,2026-05-11T08:00:08+00:00,Unavailable,,
350201768,2026-05-11T08:00:08+00:00,Unavailable,,
350201779,2026-05-11T08:00:08+00:00,Unavailable,,
350201790,2026-05-11T08:00:08+00:00,Unavailable,,
350201801,2026-05-11T08:00:08+00:00,Unavailable,,
350201812,2026-05-11T08:00:08+00:00,Unavailable,,
350201823,2026-05-11T08:00:08+00:00,Unavailable,,
350201834,2026-05-11T08:00:08+00:00,Unavailable,,
350201845,2026-05-11T08:00:08+00:00,Unavailable,,
350201856,2026-05-11T08:00:08+00:00,Unavailable,,
350201867,2026-05-11T08:00:08+00:00,Unavailable,,
350201879,2026-05-11T08:00:08+00:00,Unavailable,,
350201890,2026-05-11T08:00:08+00:00,Unavailable,,
350201901,2026-05-11T08:00:08+00:00,Unavailable,,
350201912,2026-05-11T08:00:08+00:00,Unavailable,,
350201924,2026-05-11T08:00:08+00:00,Unavailable,,
350201935,2026-05-11T08:00:08+00:00,Unavailable,,
350201947,2026-05-11T08:00:08+00:00,Unavailable,,
350201958,2026-05-11T08:00:08+00:00,Unavailable,,
350201969,2026-05-11T08:00:08+00:00,Unavailable,,
350201980,2026-05-11T08:00:08+00:00,Unavailable,,
350201991,2026-05-11T08:00:08+00:00,Unavailable,,
350202003,2026-05-11T08:00:08+00:00,Unavailable,,
350202018,2026-05-11T08:00:08+00:00,Unavailable,,
350202032,2026-05-11T08:00:08+00:00,Unavailable,,
350202045,2026-05-11T08:00:08+00:00,Unavailable,,
350202056,2026-05-11T08:00:08+00:00,Unavailable,,
350202069,2026-05-11T08:00:08+00:00,Unavailable,,
350202080,2026-05-11T08:00:08+00:00,Unavailable,,
350202091,2026-05-11T08:00:08+00:00,Unavailable,,
